"","Timestamp","Machine","Temperature","Pressure","PartLength","PartResistance"
"1",2022-03-08 00:00:00,1,303,100,47.9737293553261,5.79749227777198
"2",2022-03-08 00:00:05,1,303,100,48.4554766107746,6.07156527697993
"3",2022-03-08 00:00:10,1,303,100,49.3750352005576,5.90075211147981
"4",2022-03-08 00:00:15,1,303,100,48.7567349724625,5.36189315742525
"5",2022-03-08 00:00:20,1,303,100,50.4539916297119,5.42491607581244
"6",2022-03-08 00:00:25,1,303,100,49.1009985402436,5.48247291848275
"7",2022-03-08 00:00:30,1,303,100,48.5810155156518,5.28410159262759
"8",2022-03-08 00:00:35,1,303,100,47.8700063627602,5.64836124667376
"9",2022-03-08 00:00:40,1,303,100,50.047395052926,5.38742631911744
"10",2022-03-08 00:00:45,1,303,100,50.9485910496502,5.77945523108059
"11",2022-03-08 00:00:50,1,303,100,47.9991506975073,6.24046635329616
"12",2022-03-08 00:00:55,1,303,100,50.5296786759216,4.81491457691613
"13",2022-03-08 00:01:00,1,303,100,50.2522244589806,5.69569164122346
"14",2022-03-08 00:01:05,1,303,100,49.8300242131931,5.78297456119427
"15",2022-03-08 00:01:10,1,303,100,49.8615319722173,5.43502855478569
"16",2022-03-08 00:01:15,1,303,100,51.5401560470333,5.30359813050628
"17",2022-03-08 00:01:20,1,303,100,47.3581284203012,5.47184440184946
"18",2022-03-08 00:01:25,1,303,100,51.761793469189,5.44561655545094
"19",2022-03-08 00:01:30,1,303,100,49.8162165873297,5.62055595938787
"20",2022-03-08 00:01:35,1,303,100,49.5465708593807,5.45061486392359
"21",2022-03-08 00:01:40,1,303,100,49.5339806885625,5.17920241014489
"22",2022-03-08 00:01:45,1,303,100,49.2550844459652,5.46221367056265
"23",2022-03-08 00:01:50,1,303,100,49.7219874209443,5.25075713168741
"24",2022-03-08 00:01:55,1,303,100,50.2543660234611,5.5983040061375
"25",2022-03-08 00:02:00,1,303,100,51.6434516936982,5.84977769602828
"26",2022-03-08 00:02:05,1,303,100,49.8920986378239,6.02080168800793
"27",2022-03-08 00:02:10,1,303,100,49.9561708853111,6.19178920604702
"28",2022-03-08 00:02:15,1,303,100,50.5295452472858,5.59674079088236
"29",2022-03-08 00:02:20,1,303,100,50.011971911863,5.2093916640178
"30",2022-03-08 00:02:25,1,303,100,49.0558923610433,5.90660025128426
"31",2022-03-08 00:02:30,1,303,100,50.2623668299333,5.91011776442817
"32",2022-03-08 00:02:35,1,303,100,48.6994680452084,5.60919251920999
"33",2022-03-08 00:02:40,1,303,100,49.5017783710156,5.36152383916898
"34",2022-03-08 00:02:45,1,303,100,49.3788211775347,6.35476113180984
"35",2022-03-08 00:02:50,1,303,100,50.6532371688828,5.67250731861327
"36",2022-03-08 00:02:55,1,303,100,50.059618239005,5.10295730528945
"37",2022-03-08 00:03:00,1,303,100,49.8955377112575,5.52379841799327
"38",2022-03-08 00:03:05,1,303,100,48.1655351428576,5.09700709455877
"39",2022-03-08 00:03:10,1,303,100,50.45665279574,5.83954919913497
"40",2022-03-08 00:03:15,1,303,100,49.0173092699929,5.40816621703339
